1	±è(ÑÑ)	10,689,959	9,925,949	1	8,785,341
2	ÀÌ(×Ý)	7,306,828	2	6,794,637	2	5,985,056
3	¹Ú(ÚÓ)	4,192,074	3	3,895,121	3	3,435,858
4	ÃÖ(õË)	2,333,927	4	2,169,704	4	1,913,329
5	Á¤(ï÷)	2,151,879	5	2,010,117	5	1,780,734
6	°­(Ë©)	1,176,847	6	1,044,386	6	958,181
7	Á¶(ðá)	1,055,567	7	984,913	7	877,058
8	À±(ëÅ)	1,020,547	8	948,600	8	834,121
9	Àå(íå)	992,721	9	919,339	9	810,235
10	ÀÓ(×ù)	823,921	10	762,767	10	672,782
11	ÇÑ(ùÛ)	773,404	12	704,365	11	628,396
12	¿À(çï)	763,281	11	706,908	13	619,774
13	¼­(ßï)	751,704	14	693,954	14	611,206
14	½Å(ãé)	741,081	13	698,171	12	620,983
15	±Ç(Ïí)	705,941	15	652,495	15	567,990
16	È²(üÜ)	697,171	16	644,294	16	564,292
17	¾È(äÌ)	685,639	17	637,786	18	556,429
18	¼Û(áä)	683,494	18	634,345	17	557,193
19	Àü(îï)	559,110	21	493,419	21	430,059
20	È«(ûó)	558,853	20	518,635	20	457,583
21	À¯(×³)	478,990	19	603,084	19	509,127
22	°í(ÍÔ)	471,396	22	435,839	22	384,061
23	¹®(Ùþ)	464,040	23	426,927	23	375,866
24	¾ç(ÕÙ)	460,600	25	389,152	25	344,209
25	¼Õ(áÝ)	457,303	24	415,182	24	368,744
26	¹è(ÛÑ)	400,641	26	372,064	26	323,031
27	Á¶(ðÆ)	398,260	27	362,817	28	304,837
28	¹é(ÛÜ)	381,986	28	351,275	27	309,578
29	Çã(úÉ)	326,770	29	300,448	29	264,238
30	À¯(×±)	302,511	32	242,889	32	218,449
31	³²(Ñõ)	275,648	30	257,178	30	222,269
32	½É(öØ)	271,749	31	252,255	31	219,741
33	³ë(ÖÔ)	256,229	33	220,354	33	196,285
34	Á¤(ïË)	243,803	36	187,975	36	165,382
35	ÇÏ(ùÁ)	230,481	34	209,756	34	184,651
36	°û(Î¬)	203,188	37	187,322	38	163,433
37	¼º(à÷)	199,124	38	184,555	37	163,565
38	Â÷(ó³)	194,782	39	180,589	39	159,680
39	ÁÖ(ñ¹)	194,766	43	176,232	42	153,508
40	¿ì(éà)	194,713	42	176,682	41	155,471
41	±¸(Îý)	193,080	41	178,167	40	157,683
42	½Å(ãô)	192,877	46	167,621	47	137,874
43	ÀÓ(ìò)	191,261	44	172,726	44	147,700
44	Àü(ï£)	186,469	35	188,354	45	146,664
45	¹Î(ÚÊ)	171,740	47	159,054	46	141,429
46	À¯(êä)	167,927	40	178,209	35	168,082
47	·ù(×³)	163,703				
48	³ª(Ôþ)	160,946	45	172,022	43	150,012
49	Áø(òç)	157,599	48	142,496	49	123,092
50	Áö(ò®)	153,491	49	140,824	48	125,648
51	¾ö(åñ)	144,425	50	132,990	50	116,039
52	Ã¤(óù)	131,557	52	114,069	52	97,650
53	¿ø(êª)	129,522	51	119,356	51	104,535
54	Ãµ(ô¶)	121,780	54	103,811	53	97,419
55	¹æ(Û°)	94,831	58	81,710	55	81,469
56	°ø(Íî)	91,869	56	83,164	56	72,388
57	°­(Ë¬)	91,625	53	109,925	58	69,820
58	Çö(úÜ)	88,824	57	81,807	57	72,164
59	ÇÔ(ùà)	80,659	60	75,955	59	65,193
60	º¯(Ü¦)	78,156	59	78,685	60	64,147
61	¿°(Ö¯)	69,387	62	63,951	61	54,533
62	¾ç(åÅ)	69,101	55	93,416	54	81,589
63	º¯(Ü«)	60,633	65	52,869	63	50,380
64	¿©(Õå)	60,522	63	56,692	64	48,965
65	Ãß(õÕ)	60,483	64	54,667	65	48,643
66	³ë(ÖÛ)	58,698	61	67,032	62	54,477
67	µµ(Ô´)	56,850	66	52,349	66	46,528
68	¼Ò(áÌ)	52,427	69	39,552	69	39,728
69	½Å(ãå)	51,865	68	45,764	67	40,772
70	¼®(à´)	49,203	67	46,066	68	40,390
71	¼±(à¾)	42,733	70	38,849	71	33,718
72	¼³(àà)	42,646	72	38,766	70	34,264
73	¸¶(Ø©)	38,949	74	35,096	74	30,865
74	±æ(ÑÎ)	38,173	76	32,418	73	30,932
75	ÁÖ(ñ²)	37,240	71	38,778	72	33,222
76	¿¬(æÅ)	34,766	78	28,447	75	27,940
77	¹æ(Û®)	33,520	73	35,366	80	22,539
78	À§(êà)	31,342	77	28,675	77	24,259
79	Ç¥(øú)	30,743	79	28,398	76	24,570
80	¸í(Ù¥)	29,110	80	26,746	78	23,380
81	±â(Ðô)	28,829	81	24,385	79	22,706
82	¹Ý(Úë)	28,062	84	23,216	81	21,553
83	¶ó(Ôþ)	25,960				
84	¿Õ(èÝ)	25,565	83	23,447	82	20,378
85	±Ý(ÐÖ)	25,432	82	23,489	83	20,361
86	¿Á(è¬)	25,107	85	22,964	84	20,196
87	À°(×Á)	23,455	86	21,545	85	18,841
88	ÀÎ(ìÔ)	22,363	88	20,635	86	18,281
89	¸Í(Øë)	22,028	89	20,219	87	17,648
90	Á¦(ð³)	21,976	90	19,595	88	17,394
91	¸ð(Ù¿)	21,534	92	18,955	93	16,046
92	Àå(íø)	21,508	95	17,708	92	16,107
93	³²±Ã(ÑõÏà)	21,308	93	18,743	91	16,228
94	Å¹(öñ)	21,099	91	19,395	89	16,943
95	±¹(ÏÓ)	20,547	98	16,697	94	15,562
96	¿©(åù)	20,134	94	18,146	96	14,763
97	Áø(òÚ)	19,301	87	21,167	90	16,445
98	¾î(åà)	18,849	96	17,551	95	15,351
